2016/10/08 20:41:34 endpoint: 0x2001, chain: 02, channel:  8 threshold: 0x821f, uid: 3b0000050d74bb28
2016/10/08 20:41:34 endpoint: 0x2000, chain: 01, channel:  8 threshold: 0x8313, uid: 9f0000050d38aa28
2016/10/08 20:41:34 endpoint: 0x2008, chain: 01, channel:  8 threshold: 0x82b3, uid: 740000050d351a28
2016/10/08 20:41:34 endpoint: 0x2003, chain: 00, channel:  8 threshold: 0x83c3, uid: 850000050d4acb28
2016/10/08 20:41:34 endpoint: 0x2009, chain: 02, channel:  8 threshold: 0x8599, uid: 040000050d3e1a28
2016/10/08 20:41:34 endpoint: 0x2004, chain: 01, channel:  8 threshold: 0x8488, uid: e30000050d4b9c28
2016/10/08 20:41:34 endpoint: 0x2007, chain: 00, channel:  8 threshold: 0x82e0, uid: a20000050e0cfa28
2016/10/08 20:41:34 endpoint: 0x200b, chain: 00, channel:  8 threshold: 0x8473, uid: ae000004a47e6728
2016/10/08 20:41:48 endpoint: 0x2005, chain: 02, channel:  9 threshold: 0x82ad, uid: 6b0000050d4e0928
2016/10/08 20:41:48 endpoint: 0x2001, chain: 02, channel:  9 threshold: 0x81dd, uid: 3b0000050d74bb28
2016/10/08 20:41:48 endpoint: 0x2000, chain: 01, channel:  9 threshold: 0x823c, uid: 9f0000050d38aa28
2016/10/08 20:41:48 endpoint: 0x2003, chain: 00, channel:  9 threshold: 0x83f1, uid: 850000050d4acb28
2016/10/08 20:41:48 endpoint: 0x2008, chain: 01, channel:  9 threshold: 0x8370, uid: 740000050d351a28
2016/10/08 20:41:48 endpoint: 0x2009, chain: 02, channel:  9 threshold: 0x852d, uid: 040000050d3e1a28
2016/10/08 20:41:48 endpoint: 0x2004, chain: 01, channel:  9 threshold: 0x8435, uid: e30000050d4b9c28
2016/10/08 20:41:48 endpoint: 0x2007, chain: 00, channel:  9 threshold: 0x83a9, uid: a20000050e0cfa28
